Number,Object1,Object2,Object3,Object4,Torsion
1,O2A,O1A,O5A,O6A,-14.6(6)
2,O8A,O7A,O3A,O4A,15.3(7)
3,O6,O5,O1,O14?,-8.4(7)
4,O8,O7,O3,O4,15.3(7)
