Number,Atom1,Atom2,Atom3,Atom4,Torsion
678,C7O,C8O,C7IA,C6IA,82.7(5)
679,C7O,C8O,C7IA,C7SB,-95.3(5)
680,C5IA,O1IA,Si1FA,C1FA,-92.9
681,C5IA,O1IA,Si1FA,O1PB,163.9
682,C5IA,O1IA,Si1FA,O1SB,11.3
683,C5IA,O1IA,Si1FA,O1FA,87.1
684,H1AB,C2AB,C1M,C2BB,-178
685,H1AB,C2AB,C1M,Si1M,2
686,H1AB,C2AB,C1M,C2M,-102
687,H1AB,C2AB,C1M,C2N,139
688,C2M,C2AB,C1M,C2BB,-76
689,C2M,C2AB,C1M,Si1M,104
690,C2M,C2AB,C1M,C2N,-118
691,C3M,C2AB,C1M,C2BB,-34
692,C3M,C2AB,C1M,Si1M,146.3
693,C3M,C2AB,C1M,C2M,42
694,C3M,C2AB,C1M,C2N,-76
695,C3AB,C2AB,C1M,C2BB,2
696,C3AB,C2AB,C1M,Si1M,-178
697,C3AB,C2AB,C1M,C2M,78
698,C3AB,C2AB,C1M,C2N,-41
699,H2AB,C3AB,C4M,C3BB,-178
700,H2AB,C3AB,C4M,H3M,2
701,H2AB,C3AB,C4M,C3M,106
702,H2AB,C3AB,C4M,C3N,-133
703,C2M,C3AB,C4M,C3BB,33
704,C2M,C3AB,C4M,H3M,-147
705,C2M,C3AB,C4M,C3M,-43
706,C2M,C3AB,C4M,C3N,79
707,C3M,C3AB,C4M,C3BB,76
708,C3M,C3AB,C4M,H3M,-104
709,C3M,C3AB,C4M,C3N,121
710,C2AB,C3AB,C4M,C3BB,2
711,C2AB,C3AB,C4M,H3M,-178
712,C2AB,C3AB,C4M,C3M,-74
713,C2AB,C3AB,C4M,C3N,47
714,C6AB,C5AB,C5N,C6N,0.0(7)
715,C6AB,C5AB,C5N,O1N,179.1(4)
716,O1AB,C5AB,C5N,C6N,-179.1(4)
717,O1AB,C5AB,C5N,O1N,-0.0(6)
718,H4AB,C6AB,C5AB,C5N,177.2
719,H4AB,C6AB,C5AB,O1AB,-3.8
720,C7AB,C6AB,C5AB,C5N,-2.9(7)
721,C7AB,C6AB,C5AB,O1AB,176.1(4)
722,C8OA,C7AB,C7N,C6N,178.0(4)
723,C8OA,C7AB,C7N,C8N,0.0(7)
724,C6AB,C7AB,C7N,C6N,0.0(6)
725,C6AB,C7AB,C7N,C8N,-178.0(4)
726,H5OA,C8OA,C7AB,C7N,143.6
727,H5OA,C8OA,C7AB,C6AB,-38.4
728,H6OA,C8OA,C7AB,C7N,25.6
729,H6OA,C8OA,C7AB,C6AB,-156.4
730,C7OA,C8OA,C7AB,C7N,-95.3(5)
731,C7OA,C8OA,C7AB,C6AB,82.7(5)
732,C5AB,O1AB,Si1M,C1M,-92.9
733,C5AB,O1AB,Si1M,O1M,163.9
734,C5AB,O1AB,Si1M,O1N,11.3
735,C5AB,O1AB,Si1M,O1BB,87.1
736,Si1L,C1L,C2CB,H1CB,2
737,Si1L,C1L,C2CB,C3CB,-178
738,Si1L,C1L,C2CB,C3L,146.3
739,Si1L,C1L,C2CB,C2L,104
740,C2L,C1L,C2CB,H1CB,-102
741,C2L,C1L,C2CB,C3CB,78
742,C2L,C1L,C2CB,C3L,42
743,C2O,C1L,C2CB,H1CB,139
744,C2O,C1L,C2CB,C3CB,-41
745,C2O,C1L,C2CB,C3L,-76
746,C2O,C1L,C2CB,C2L,-118
747,C2ZA,C1L,C2CB,H1CB,-178
748,C2ZA,C1L,C2CB,C3CB,2
749,C2ZA,C1L,C2CB,C3L,-34
750,C2ZA,C1L,C2CB,C2L,-76
751,H2CB,C3CB,C2CB,C1L,177
752,H2CB,C3CB,C2CB,H1CB,-3
753,H2CB,C3CB,C2CB,C3L,-118
754,H2CB,C3CB,C2CB,C2L,-118
755,C4L,C3CB,C2CB,C1L,-3
756,C4L,C3CB,C2CB,H1CB,177
757,C4L,C3CB,C2CB,C3L,62
758,C4L,C3CB,C2CB,C2L,62
759,C2L,C3CB,C2CB,C1L,-66
760,C2L,C3CB,C2CB,H1CB,115
761,C2L,C3CB,C2CB,C3L,0(2)
762,C3L,C3CB,C2CB,C1L,-66
763,C3L,C3CB,C2CB,H1CB,115
764,C3L,C3CB,C2CB,C2L,-0(2)
765,H3L,C4L,C3CB,C2CB,-178
766,H3L,C4L,C3CB,H2CB,2
767,H3L,C4L,C3CB,C2L,-147
768,H3L,C4L,C3CB,C3L,-104
769,C3O,C4L,C3CB,C2CB,47
770,C3O,C4L,C3CB,H2CB,-133
771,C3O,C4L,C3CB,C2L,79
772,C3O,C4L,C3CB,C3L,121
773,C3ZA,C4L,C3CB,C2CB,2
774,C3ZA,C4L,C3CB,H2CB,-178
775,C3ZA,C4L,C3CB,C2L,33
776,C3ZA,C4L,C3CB,C3L,76
777,C3L,C4L,C3CB,C2CB,-74
778,C3L,C4L,C3CB,H2CB,106
779,C3L,C4L,C3CB,C2L,-43
780,O1CB,C5CB,C6CB,H4CB,-3.8
781,O1CB,C5CB,C6CB,C7CB,176.1(4)
782,C5O,C5CB,C6CB,H4CB,177.2
783,C5O,C5CB,C6CB,C7CB,-2.9(7)
784,C6CB,C7CB,C8QA,C7QA,82.7(5)
785,C6CB,C7CB,C8QA,H5QA,-38.4
786,C6CB,C7CB,C8QA,H6QA,-156.4
787,C7O,C7CB,C8QA,C7QA,-95.3(5)
788,C7O,C7CB,C8QA,H5QA,143.6
789,C7O,C7CB,C8QA,H6QA,25.6
790,Si1L,O1CB,C5CB,C6CB,172.2
791,Si1L,O1CB,C5CB,C5O,-8.8
792,O1L,Si1L,C1L,C2CB,-161.4
793,O1L,Si1L,C1L,C2L,-110.8
794,O1L,Si1L,C1L,C2O,69.2
795,O1L,Si1L,C1L,C2ZA,18.6
796,O1O,Si1L,C1L,C2CB,18.6
797,O1O,Si1L,C1L,C2L,69.2
798,O1O,Si1L,C1L,C2O,-110.8
799,O1O,Si1L,C1L,C2ZA,-161.4
800,O1ZA,Si1L,C1L,C2CB,-69.2
801,O1ZA,Si1L,C1L,C2L,-18.6
802,O1ZA,Si1L,C1L,C2O,161.4
803,O1ZA,Si1L,C1L,C2ZA,110.8
804,O1CB,Si1L,C1L,C2CB,110.8
805,O1CB,Si1L,C1L,C2L,161.4
806,O1CB,Si1L,C1L,C2O,-18.6
807,O1CB,Si1L,C1L,C2ZA,-69.2
808,H1PB,C2PB,C1FA,C2FA,-139
809,H1PB,C2PB,C1FA,Si1FA,-2
810,H1PB,C2PB,C1FA,C2IA,102
811,H1PB,C2PB,C1FA,C2SB,178
812,C2IA,C2PB,C1FA,C2FA,118
813,C2IA,C2PB,C1FA,Si1FA,-104
814,C2IA,C2PB,C1FA,C2SB,76
815,C3IA,C2PB,C1FA,C2FA,76
816,C3IA,C2PB,C1FA,Si1FA,-146.3
817,C3IA,C2PB,C1FA,C2IA,-42
818,C3IA,C2PB,C1FA,C2SB,34
819,C3PB,C2PB,C1FA,C2FA,41
820,C3PB,C2PB,C1FA,Si1FA,178
821,C3PB,C2PB,C1FA,C2IA,-78
822,C3PB,C2PB,C1FA,C2SB,-2
823,H2PB,C3PB,C4FA,C3FA,133
824,H2PB,C3PB,C4FA,H3FA,-2
825,H2PB,C3PB,C4FA,C3IA,-106
826,H2PB,C3PB,C4FA,C3SB,178
827,C2IA,C3PB,C4FA,C3FA,-79
828,C2IA,C3PB,C4FA,H3FA,147
829,C2IA,C3PB,C4FA,C3IA,43
830,C2IA,C3PB,C4FA,C3SB,-33
831,C3IA,C3PB,C4FA,C3FA,-121
832,C3IA,C3PB,C4FA,H3FA,104
833,C3IA,C3PB,C4FA,C3SB,-76
834,C2PB,C3PB,C4FA,C3FA,-47
835,C2PB,C3PB,C4FA,H3FA,178
836,C2PB,C3PB,C4FA,C3IA,74
837,C2PB,C3PB,C4FA,C3SB,-2
838,C6PB,C5PB,C5FA,C6FA,-0.0(7)
839,C6PB,C5PB,C5FA,O1FA,-179.1(4)
840,O1PB,C5PB,C5FA,C6FA,179.1(4)
841,O1PB,C5PB,C5FA,O1FA,0.0(6)
842,H4PB,C6PB,C5PB,C5FA,-177.2
843,H4PB,C6PB,C5PB,O1PB,3.8
844,C7PB,C6PB,C5PB,C5FA,2.9(7)
845,C7PB,C6PB,C5PB,O1PB,-176.1(4)
846,C8B,C7PB,C7FA,C8N,0.0(7)
847,C8B,C7PB,C7FA,C6FA,-178.0(4)
848,C6PB,C7PB,C7FA,C8N,178.0(4)
849,C6PB,C7PB,C7FA,C6FA,-0.0(6)
850,H5B,C8B,C7PB,C7FA,-143.6
851,H5B,C8B,C7PB,C6PB,38.4
852,H6B,C8B,C7PB,C7FA,-25.6
853,H6B,C8B,C7PB,C6PB,156.4
854,C7B,C8B,C7PB,C7FA,95.3(5)
855,C7B,C8B,C7PB,C6PB,-82.7(5)
856,C5PB,O1PB,Si1FA,C1FA,92.9
857,C5PB,O1PB,Si1FA,O1IA,-163.9
858,C5PB,O1PB,Si1FA,O1SB,-87.1
859,C5PB,O1PB,Si1FA,O1FA,-11.3
860,H1QB,C2QB,C1GA,C2RB,178
861,H1QB,C2QB,C1GA,Si1GA,-2
862,H1QB,C2QB,C1GA,C2GA,102
863,H1QB,C2QB,C1GA,C2HA,-139
864,C2GA,C2QB,C1GA,C2RB,76
865,C2GA,C2QB,C1GA,Si1GA,-104
866,C2GA,C2QB,C1GA,C2HA,118
867,C3GA,C2QB,C1GA,C2RB,34
868,C3GA,C2QB,C1GA,Si1GA,-146.3
869,C3GA,C2QB,C1GA,C2GA,-42
870,C3GA,C2QB,C1GA,C2HA,76
871,C3QB,C2QB,C1GA,C2RB,-2
872,C3QB,C2QB,C1GA,Si1GA,178
873,C3QB,C2QB,C1GA,C2GA,-78
874,C3QB,C2QB,C1GA,C2HA,41
875,H2QB,C3QB,C4GA,C3RB,178
876,H2QB,C3QB,C4GA,H3GA,-2
877,H2QB,C3QB,C4GA,C3GA,-106
878,H2QB,C3QB,C4GA,C3HA,133
879,C2GA,C3QB,C4GA,C3RB,-33
880,C2GA,C3QB,C4GA,H3GA,147
881,C2GA,C3QB,C4GA,C3GA,43
882,C2GA,C3QB,C4GA,C3HA,-79
883,C3GA,C3QB,C4GA,C3RB,-76
884,C3GA,C3QB,C4GA,H3GA,104
885,C3GA,C3QB,C4GA,C3HA,-121
886,C2QB,C3QB,C4GA,C3RB,-2
887,C2QB,C3QB,C4GA,H3GA,178
888,C2QB,C3QB,C4GA,C3GA,74
889,C2QB,C3QB,C4GA,C3HA,-47
890,C6QB,C5QB,C5HA,C6HA,0.0(7)
891,C6QB,C5QB,C5HA,O1HA,-179.1(4)
892,O1QB,C5QB,C5HA,C6HA,179.1(4)
893,O1QB,C5QB,C5HA,O1HA,0.0(6)
894,H4QB,C6QB,C5QB,C5HA,-177.2
895,H4QB,C6QB,C5QB,O1QB,3.8
896,C7QB,C6QB,C5QB,C5HA,2.9(7)
897,C7QB,C6QB,C5QB,O1QB,-176.1(4)
898,C8A,C7QB,C7HA,C6HA,-178.0(4)
899,C8A,C7QB,C7HA,C8L,-0.0(7)
900,C6QB,C7QB,C7HA,C6HA,0.0(6)
901,C6QB,C7QB,C7HA,C8L,178.0(4)
902,H5A,C8A,C7QB,C7HA,-143.6
903,H5A,C8A,C7QB,C6QB,38.4
904,H6A,C8A,C7QB,C7HA,-25.6
905,H6A,C8A,C7QB,C6QB,156.4
906,C7A,C8A,C7QB,C7HA,95.3(5)
907,C7A,C8A,C7QB,C6QB,-82.7(5)
908,C5QB,O1QB,Si1GA,C1GA,92.9
909,C5QB,O1QB,Si1GA,O1GA,-163.9
910,C5QB,O1QB,Si1GA,O1HA,-11.3
911,C5QB,O1QB,Si1GA,O1RB,-87.1
912,H1SB,C2SB,C1FA,C2FA,102
913,H1SB,C2SB,C1FA,Si1FA,-2
914,H1SB,C2SB,C1FA,C2IA,-139
915,H1SB,C2SB,C1FA,C2PB,178
916,C2FA,C2SB,C1FA,Si1FA,-104
917,C2FA,C2SB,C1FA,C2IA,118
918,C2FA,C2SB,C1FA,C2PB,76
919,C3FA,C2SB,C1FA,C2FA,-42
920,C3FA,C2SB,C1FA,Si1FA,-146.3
921,C3FA,C2SB,C1FA,C2IA,76
922,C3FA,C2SB,C1FA,C2PB,34
923,C3SB,C2SB,C1FA,C2FA,-78
924,C3SB,C2SB,C1FA,Si1FA,178
925,C3SB,C2SB,C1FA,C2IA,41
926,C3SB,C2SB,C1FA,C2PB,-2
927,H2SB,C3SB,C2FA,C1FA,-140
928,H2SB,C3SB,C2FA,H1FA,1
929,H2SB,C3SB,C2FA,C3FA,92
930,H2SB,C3SB,C2FA,C2SB,-88
931,C3FA,C3SB,C2FA,C1FA,128
932,C3FA,C3SB,C2FA,H1FA,-92
933,C3FA,C3SB,C2FA,C2SB,180(2)
934,C4FA,C3SB,C2FA,C1FA,76
935,C4FA,C3SB,C2FA,H1FA,-143
936,C4FA,C3SB,C2FA,C3FA,-51
937,C4FA,C3SB,C2FA,C2SB,129
938,C2SB,C3SB,C2FA,C1FA,-52
939,C2SB,C3SB,C2FA,H1FA,88
940,C2SB,C3SB,C2FA,C3FA,-180(2)
941,C6SB,C5SB,C5IA,C6IA,0.0(7)
942,C6SB,C5SB,C5IA,O1IA,-179.1(4)
943,O1SB,C5SB,C5IA,C6IA,179.1(4)
944,O1SB,C5SB,C5IA,O1IA,0.0(6)
945,H4SB,C6SB,C5SB,C5IA,-177.2
946,H4SB,C6SB,C5SB,O1SB,3.8
947,C7SB,C6SB,C5SB,C5IA,2.9(7)
948,C7SB,C6SB,C5SB,O1SB,-176.1(4)
949,C7IA,C7SB,C8C,C7C,95.3(5)
950,C7IA,C7SB,C8C,H5C,-143.6
951,C7IA,C7SB,C8C,H6C,-25.6
952,C6SB,C7SB,C8C,C7C,-82.7(5)
953,C6SB,C7SB,C8C,H5C,38.4
954,C6SB,C7SB,C8C,H6C,156.4
955,C5SB,O1SB,Si1FA,C1FA,92.9
956,C5SB,O1SB,Si1FA,O1IA,-11.3
957,C5SB,O1SB,Si1FA,O1PB,-87.1
958,C5SB,O1SB,Si1FA,O1FA,-163.9
959,Si1A,C1A,C2A,H1A,2
960,Si1A,C1A,C2A,C3A,-178
961,Si1A,C1A,C2A,C3OA,146.3
962,Si1A,C1A,C2A,C2OA,104
963,C2B,C1A,C2A,H1A,-178
964,C2B,C1A,C2A,C3A,2
965,C2B,C1A,C2A,C3OA,-34
966,C2B,C1A,C2A,C2OA,-76
967,C2OA,C1A,C2A,H1A,-102
968,C2OA,C1A,C2A,C3A,78
969,C2OA,C1A,C2A,C3OA,42
970,C2PA,C1A,C2A,H1A,139
971,C2PA,C1A,C2A,C3A,-41
972,C2PA,C1A,C2A,C3OA,-76
973,C2PA,C1A,C2A,C2OA,-118
974,H2A,C3A,C2A,C1A,177
975,H2A,C3A,C2A,H1A,-3
976,H2A,C3A,C2A,C3OA,-118
977,H2A,C3A,C2A,C2OA,-118
978,C4A,C3A,C2A,C1A,-3
979,C4A,C3A,C2A,H1A,177
980,C4A,C3A,C2A,C3OA,62
981,C4A,C3A,C2A,C2OA,62
982,C2OA,C3A,C2A,C1A,-66
983,C2OA,C3A,C2A,H1A,115
984,C2OA,C3A,C2A,C3OA,-0(2)
985,C3OA,C3A,C2A,C1A,-66
986,C3OA,C3A,C2A,H1A,115
987,C3OA,C3A,C2A,C2OA,0(2)
988,H3A,C4A,C3A,C2A,-178
989,H3A,C4A,C3A,H2A,2
990,H3A,C4A,C3A,C2OA,-147
991,H3A,C4A,C3A,C3OA,-104
992,C3B,C4A,C3A,C2A,2
993,C3B,C4A,C3A,H2A,-178
994,C3B,C4A,C3A,C2OA,33
995,C3B,C4A,C3A,C3OA,76
996,C3PA,C4A,C3A,C2A,47
997,C3PA,C4A,C3A,H2A,-133
998,C3PA,C4A,C3A,C2OA,79
999,C3PA,C4A,C3A,C3OA,121
1000,C3OA,C4A,C3A,C2A,-74
1001,C3OA,C4A,C3A,H2A,106
1002,C3OA,C4A,C3A,C2OA,-43
1003,O1A,C5A,C6A,H4A,-3.8
1004,O1A,C5A,C6A,C7A,176.1(4)
1005,C5PA,C5A,C6A,H4A,177.2
1006,C5PA,C5A,C6A,C7A,-2.9(7)
1007,C7PA,C7A,C8A,C7QB,-95.3(5)
1008,C7PA,C7A,C8A,H5A,143.6
1009,C7PA,C7A,C8A,H6A,25.6
1010,C6A,C7A,C8A,C7QB,82.7(5)
1011,C6A,C7A,C8A,H5A,-38.4
1012,C6A,C7A,C8A,H6A,-156.4
1013,Si1A,O1A,C5A,C6A,172.2
1014,Si1A,O1A,C5A,C5PA,-8.8
1015,O1B,Si1A,C1A,C2A,-69.2
1016,O1B,Si1A,C1A,C2B,110.8
1017,O1B,Si1A,C1A,C2OA,-18.6
1018,O1B,Si1A,C1A,C2PA,161.4
1019,O1OA,Si1A,C1A,C2A,-161.4
1020,O1OA,Si1A,C1A,C2B,18.6
1021,O1OA,Si1A,C1A,C2OA,-110.8
1022,O1OA,Si1A,C1A,C2PA,69.2
1023,O1PA,Si1A,C1A,C2A,18.6
1024,O1PA,Si1A,C1A,C2B,-161.4
1025,O1PA,Si1A,C1A,C2OA,69.2
1026,O1PA,Si1A,C1A,C2PA,-110.8
1027,O1A,Si1A,C1A,C2A,110.8
1028,O1A,Si1A,C1A,C2B,-69.2
1029,O1A,Si1A,C1A,C2OA,161.4
1030,O1A,Si1A,C1A,C2PA,-18.6
1031,H1B,C2B,C1A,C2A,-178
1032,H1B,C2B,C1A,Si1A,2
1033,H1B,C2B,C1A,C2OA,139
1034,H1B,C2B,C1A,C2PA,-102
1035,C3B,C2B,C1A,C2A,2
1036,C3B,C2B,C1A,Si1A,-178
1037,C3B,C2B,C1A,C2OA,-41
1038,C3B,C2B,C1A,C2PA,78
1039,C2PA,C2B,C1A,C2A,-76
1040,C2PA,C2B,C1A,Si1A,104
1041,C2PA,C2B,C1A,C2OA,-118
1042,C3PA,C2B,C1A,C2A,-34
1043,C3PA,C2B,C1A,Si1A,146.3
1044,C3PA,C2B,C1A,C2OA,-76
1045,C3PA,C2B,C1A,C2PA,42
1046,H2B,C3B,C4A,C3A,-178
1047,H2B,C3B,C4A,H3A,2
1048,H2B,C3B,C4A,C3PA,106
1049,H2B,C3B,C4A,C3OA,-133
1050,C2B,C3B,C4A,C3A,2
1051,C2B,C3B,C4A,H3A,-178
1052,C2B,C3B,C4A,C3PA,-74
1053,C2B,C3B,C4A,C3OA,47
1054,C2PA,C3B,C4A,C3A,33
1055,C2PA,C3B,C4A,H3A,-147
1056,C2PA,C3B,C4A,C3PA,-43
1057,C2PA,C3B,C4A,C3OA,79
1058,C3PA,C3B,C4A,C3A,76
1059,C3PA,C3B,C4A,H3A,-104
1060,C3PA,C3B,C4A,C3OA,121
1061,C5OA,C5B,C6B,H4B,177.2
1062,C5OA,C5B,C6B,C7B,-2.9(7)
1063,O1B,C5B,C6B,H4B,-3.8
1064,O1B,C5B,C6B,C7B,176.1(4)
1065,C6B,C7B,C8B,C7PB,82.7(5)
1066,C6B,C7B,C8B,H5B,-38.4
1067,C6B,C7B,C8B,H6B,-156.4
1068,C7OA,C7B,C8B,C7PB,-95.3(5)
1069,C7OA,C7B,C8B,H5B,143.6
1070,C7OA,C7B,C8B,H6B,25.6
1071,C5B,O1B,Si1A,C1A,-92.9
1072,C5B,O1B,Si1A,O1OA,11.3
1073,C5B,O1B,Si1A,O1PA,163.9
1074,C5B,O1B,Si1A,O1A,87.1
1075,H1L,C2L,C1L,C2CB,102
1076,H1L,C2L,C1L,Si1L,-2
1077,H1L,C2L,C1L,C2O,178
1078,H1L,C2L,C1L,C2ZA,-139
1079,C2CB,C2L,C1L,Si1L,-104
1080,C2CB,C2L,C1L,C2O,76
1081,C2CB,C2L,C1L,C2ZA,118
1082,C3CB,C2L,C1L,C2CB,-42
1083,C3CB,C2L,C1L,Si1L,-146.3
1084,C3CB,C2L,C1L,C2O,34
1085,C3CB,C2L,C1L,C2ZA,76
1086,C3L,C2L,C1L,C2CB,-78
1087,C3L,C2L,C1L,Si1L,178
1088,C3L,C2L,C1L,C2O,-2
1089,C3L,C2L,C1L,C2ZA,41
1090,H2L,C3L,C2CB,C1L,-140
1091,H2L,C3L,C2CB,H1CB,1
1092,H2L,C3L,C2CB,C3CB,92
1093,H2L,C3L,C2CB,C2L,-88
1094,C3CB,C3L,C2CB,C1L,128
1095,C3CB,C3L,C2CB,H1CB,-92
1096,C3CB,C3L,C2CB,C2L,180(2)
1097,C4L,C3L,C2CB,C1L,76
1098,C4L,C3L,C2CB,H1CB,-143
1099,C4L,C3L,C2CB,C3CB,-51
1100,C4L,C3L,C2CB,C2L,129
1101,C2L,C3L,C2CB,C1L,-52
1102,C2L,C3L,C2CB,H1CB,88
1103,C2L,C3L,C2CB,C3CB,-180(2)
1104,C5ZA,C5L,C6L,H4L,-177.2
1105,C5ZA,C5L,C6L,C7L,2.9(7)
1106,O1L,C5L,C6L,H4L,3.8
1107,O1L,C5L,C6L,C7L,-176.1(4)
1108,C7ZA,C7L,C8L,C7HA,95.3(5)
1109,C7ZA,C7L,C8L,H5L,-143.6
1110,C7ZA,C7L,C8L,H6L,-25.6
1111,C6L,C7L,C8L,C7HA,-82.7(5)
1112,C6L,C7L,C8L,H5L,38.4
1113,C6L,C7L,C8L,H6L,156.4
1114,C5L,O1L,Si1L,C1L,92.9
1115,C5L,O1L,Si1L,O1O,-87.1
1116,C5L,O1L,Si1L,O1ZA,-11.3
1117,C5L,O1L,Si1L,O1CB,-163.9
1118,H1O,C2O,C1L,C2CB,-139
1119,H1O,C2O,C1L,Si1L,-2
1120,H1O,C2O,C1L,C2L,178
1121,H1O,C2O,C1L,C2ZA,102
1122,C3O,C2O,C1L,C2CB,41
1123,C3O,C2O,C1L,Si1L,178
1124,C3O,C2O,C1L,C2L,-2
1125,C3O,C2O,C1L,C2ZA,-78
1126,C2ZA,C2O,C1L,C2CB,118
1127,C2ZA,C2O,C1L,Si1L,-104
1128,C2ZA,C2O,C1L,C2L,76
1129,C3ZA,C2O,C1L,C2CB,76
1130,C3ZA,C2O,C1L,Si1L,-146.3
1131,C3ZA,C2O,C1L,C2L,34
1132,C3ZA,C2O,C1L,C2ZA,-42
1133,H2O,C3O,C4L,C3CB,133
1134,H2O,C3O,C4L,H3L,-2
1135,H2O,C3O,C4L,C3ZA,-106
1136,H2O,C3O,C4L,C3L,178
1137,C2O,C3O,C4L,C3CB,-47
1138,C2O,C3O,C4L,H3L,178
1139,C2O,C3O,C4L,C3ZA,74
1140,C2O,C3O,C4L,C3L,-2
1141,C2ZA,C3O,C4L,C3CB,-79
1142,C2ZA,C3O,C4L,H3L,147
1143,C2ZA,C3O,C4L,C3ZA,43
1144,C2ZA,C3O,C4L,C3L,-33
1145,C3ZA,C3O,C4L,C3CB,-121
1146,C3ZA,C3O,C4L,H3L,104
1147,C3ZA,C3O,C4L,C3L,-76
1148,C6O,C5O,C5CB,C6CB,-0.0(7)
1149,C6O,C5O,C5CB,O1CB,-179.1(4)
1150,O1O,C5O,C5CB,C6CB,179.1(4)
1151,O1O,C5O,C5CB,O1CB,0.0(6)
1152,H4O,C6O,C5O,C5CB,-177.2
1153,H4O,C6O,C5O,O1O,3.8
1154,C7O,C6O,C5O,C5CB,2.9(7)
1155,C7O,C6O,C5O,O1O,-176.1(4)
1156,C7CB,C7O,C8O,C7IA,95.3(5)
1157,C7CB,C7O,C8O,H5O,-143.6
1158,C7CB,C7O,C8O,H6O,-25.6
1159,C6O,C7O,C8O,C7IA,-82.7(5)
1160,C6O,C7O,C8O,H5O,38.4
1161,C6O,C7O,C8O,H6O,156.4
1162,C5O,O1O,Si1L,C1L,92.9
1163,C5O,O1O,Si1L,O1L,-87.1
1164,C5O,O1O,Si1L,O1ZA,-163.9
1165,C5O,O1O,Si1L,O1CB,-11.3
1166,H1OA,C2OA,C1A,C2A,102
1167,H1OA,C2OA,C1A,Si1A,-2
1168,H1OA,C2OA,C1A,C2B,-139
1169,H1OA,C2OA,C1A,C2PA,178
1170,C2A,C2OA,C1A,Si1A,-104
1171,C2A,C2OA,C1A,C2B,118
1172,C2A,C2OA,C1A,C2PA,76
1173,C3A,C2OA,C1A,C2A,-42
1174,C3A,C2OA,C1A,Si1A,-146.3
1175,C3A,C2OA,C1A,C2B,76
1176,C3A,C2OA,C1A,C2PA,34
1177,C3OA,C2OA,C1A,C2A,-78
1178,C3OA,C2OA,C1A,Si1A,178
1179,C3OA,C2OA,C1A,C2B,41
1180,C3OA,C2OA,C1A,C2PA,-2
1181,H2OA,C3OA,C2A,C1A,-140
1182,H2OA,C3OA,C2A,H1A,1
1183,H2OA,C3OA,C2A,C3A,92
1184,H2OA,C3OA,C2A,C2OA,-88
1185,C3A,C3OA,C2A,C1A,128
1186,C3A,C3OA,C2A,H1A,-92
1187,C3A,C3OA,C2A,C2OA,-180(2)
1188,C4A,C3OA,C2A,C1A,76
1189,C4A,C3OA,C2A,H1A,-143
1190,C4A,C3OA,C2A,C3A,-51
1191,C4A,C3OA,C2A,C2OA,129
1192,C2OA,C3OA,C2A,C1A,-52
1193,C2OA,C3OA,C2A,H1A,88
1194,C2OA,C3OA,C2A,C3A,180(2)
1195,C6OA,C5OA,C5B,C6B,0.0(7)
1196,C6OA,C5OA,C5B,O1B,-179.1(4)
1197,O1OA,C5OA,C5B,C6B,179.1(4)
1198,O1OA,C5OA,C5B,O1B,0.0(6)
1199,H4OA,C6OA,C5OA,C5B,-177.2
1200,H4OA,C6OA,C5OA,O1OA,3.8
1201,C7OA,C6OA,C5OA,C5B,2.9(7)
1202,C7OA,C6OA,C5OA,O1OA,-176.1(4)
1203,C7B,C7OA,C8OA,C7AB,95.3(5)
1204,C7B,C7OA,C8OA,H5OA,-143.6
1205,C7B,C7OA,C8OA,H6OA,-25.6
1206,C6OA,C7OA,C8OA,C7AB,-82.7(5)
1207,C6OA,C7OA,C8OA,H5OA,38.4
1208,C6OA,C7OA,C8OA,H6OA,156.4
1209,C5OA,O1OA,Si1A,C1A,92.9
1210,C5OA,O1OA,Si1A,O1B,-11.3
1211,C5OA,O1OA,Si1A,O1PA,-87.1
1212,C5OA,O1OA,Si1A,O1A,-163.9
1213,H1PA,C2PA,C1A,C2A,-139
1214,H1PA,C2PA,C1A,Si1A,-2
1215,H1PA,C2PA,C1A,C2B,102
1216,H1PA,C2PA,C1A,C2OA,178
1217,C2B,C2PA,C1A,C2A,118
1218,C2B,C2PA,C1A,Si1A,-104
1219,C2B,C2PA,C1A,C2OA,76
1220,C3B,C2PA,C1A,C2A,76
1221,C3B,C2PA,C1A,Si1A,-146.3
1222,C3B,C2PA,C1A,C2B,-42
1223,C3B,C2PA,C1A,C2OA,34
1224,C3PA,C2PA,C1A,C2A,41
1225,C3PA,C2PA,C1A,Si1A,178
1226,C3PA,C2PA,C1A,C2B,-78
1227,C3PA,C2PA,C1A,C2OA,-2
1228,H2PA,C3PA,C4A,C3A,133
1229,H2PA,C3PA,C4A,H3A,-2
1230,H2PA,C3PA,C4A,C3B,-106
1231,H2PA,C3PA,C4A,C3OA,178
1232,C2B,C3PA,C4A,C3A,-79
1233,C2B,C3PA,C4A,H3A,147
1234,C2B,C3PA,C4A,C3B,43
1235,C2B,C3PA,C4A,C3OA,-33
1236,C3B,C3PA,C4A,C3A,-121
1237,C3B,C3PA,C4A,H3A,104
1238,C3B,C3PA,C4A,C3OA,-76
1239,C2PA,C3PA,C4A,C3A,-47
1240,C2PA,C3PA,C4A,H3A,178
1241,C2PA,C3PA,C4A,C3B,74
1242,C2PA,C3PA,C4A,C3OA,-2
1243,C6PA,C5PA,C5A,C6A,0.0(7)
1244,C6PA,C5PA,C5A,O1A,-179.1(4)
1245,O1PA,C5PA,C5A,C6A,179.1(4)
